stable_id,title,project,area,status,priority,source_file,source_line,section,description,repo_name,repo_full_name,repo_path,repo_type
task-0c7a56c5ef1b,Migrate host PIN gate to Supabase Auth — replace JS PIN check with email/password login so RLS DELETE/UPDATE policies can be scoped to authenticated role,Poker Night,apps,Backlog,Normal,apps/poker/BACKLOG.md,4,Backlog — Poker Night / Security,,poker,DrewBeFree/poker,apps/poker,app
task-c6a0d5521a05,"PWA install banner — show iOS Safari tooltip nudging ""Share → Add to Home Screen"" on first visit; dismiss stored in localStorage",Poker Night,apps,Backlog,Normal,apps/poker/BACKLOG.md,7,Backlog — Poker Night / UX,,poker,DrewBeFree/poker,apps/poker,app
task-bd0f2cd0b3f3,"PWA install banner — show iOS Safari tooltip nudging ""Share → Add to Home Screen"" on first visit; dismiss stored in localStorage",RV Maintenance,apps,Backlog,Normal,apps/rv-maintenance/BACKLOG.md,4,Backlog — RV Maintenance / UX,,rv-maintenance,DrewBeFree/rv-maintenance,apps/rv-maintenance,app
task-d7eed15e89c7,"PWA install banner — show iOS Safari tooltip nudging ""Share → Add to Home Screen"" on first visit; dismiss stored in localStorage",Soccer Pickup,apps,Backlog,Normal,apps/soccer-pickup/BACKLOG.md,4,Backlog — Soccer Pickup / UX,,soccer-pickup,DrewBeFree/soccer-pickup,apps/soccer-pickup,app
task-269fde714f57,"Add full Alpaca crypto historical + latest bar ingestion (CryptoHistoricalDataClient for BTC/USD, ETH/USD and expandables)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,9,Backlog — Trading Scanner Experimental / Crypto Paper Trading (Alpaca same account),task-sync-id: task-269fde714f57,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-dbdee4e0a42b,Extend DuckDB with crypto_bars table + upsert/fetch helpers (parallel to stock_bars),Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,11,Backlog — Trading Scanner Experimental / Crypto Paper Trading (Alpaca same account),task-sync-id: task-ab834f8192f9,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-7456fc0fe298,Update main scanner loop and seed logic to run crypto_universe 24/7 alongside (or instead of) equity scans during market hours,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,13,Backlog — Trading Scanner Experimental / Crypto Paper Trading (Alpaca same account),task-sync-id: task-d9e847e1ef06,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-bf5caefad983,"Make confluence robust for crypto: relax or replace VARS-vs-SPY logic, keep prefilters (min_crypto_adv_usd), EMA, RSI, squeeze",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,15,Backlog — Trading Scanner Experimental / Crypto Paper Trading (Alpaca same account),task-sync-id: task-4243ed19306b,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-210479fd3f3c,"Ensure PaperExecutor + order submission works cleanly for crypto symbols (fractional qty, DVOL psi, no equity lag blocking crypto)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,17,Backlog — Trading Scanner Experimental / Crypto Paper Trading (Alpaca same account),task-sync-id: task-3715faf082c3,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-ba74632ecfd4,"Handle 24/7 market context: adjust sleep, lag guards, ""market open"" flags, and cycle notes for crypto-only periods",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,19,Backlog — Trading Scanner Experimental / Crypto Paper Trading (Alpaca same account),task-sync-id: task-ec15ad33910c,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-1f044d337ecf,Add basic crypto-specific risk / sizing tests and off-hours test cycle support,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,21,Backlog — Trading Scanner Experimental / Crypto Paper Trading (Alpaca same account),task-sync-id: task-2ee57af249a8,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-70537aa60a17,"Surface crypto signals, ranked setups, and trades in main views (signals list, movers, history)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,26,Backlog — Trading Scanner Experimental / Dashboard Enhancements,task-sync-id: task-f2008f0b681f,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-439b01a4b68a,"Add or improve crypto regime awareness (DVOL cards, crypto psi sizing, separate or tagged sparklines)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,28,Backlog — Trading Scanner Experimental / Dashboard Enhancements,task-sync-id: task-1b6a174e739a,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-f2dfe96ef060,Update Next Move recommendations and time-sensitive alerts to handle crypto 24/7 vs equity session context,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,30,Backlog — Trading Scanner Experimental / Dashboard Enhancements,task-sync-id: task-c7502d122806,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-fcc94df3e0ed,Make /api/bars and chart components work seamlessly for crypto symbols (BTC/USD etc.),Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,32,Backlog — Trading Scanner Experimental / Dashboard Enhancements,task-sync-id: task-e973791afe33,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-36146698bb7e,Enhance status/config and data summary to clearly report crypto universe size and bar counts,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,34,Backlog — Trading Scanner Experimental / Dashboard Enhancements,task-sync-id: task-6e9e4e3be831,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-bdfd8d67908f,(Stretch) Live paper positions + recent fills from Alpaca trading client for crypto visibility,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,36,Backlog — Trading Scanner Experimental / Dashboard Enhancements,task-sync-id: task-a3bdf4da4597,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-47983c41920e,"Update README with crypto paper trading quickstart, same-account notes, risks, and how to run experimental side-by-side (port 8788)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,41,"Backlog — Trading Scanner Experimental / Documentation, Ops & Tracking",task-sync-id: task-1088ab192bdc,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-35ee46b1e5d3,"Update SESSION_LOG and add this BACKLOG.md so infra sync can push items to Leantime (""Apps Portfolio"" or dedicated project)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,43,"Backlog — Trading Scanner Experimental / Documentation, Ops & Tracking",task-sync-id: task-55c67107308c,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-f4feccaf3ff0,Create GitHub issues (and sub-issues if needed) for the above so GitHub side of task sync also feeds Leantime,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,45,"Backlog — Trading Scanner Experimental / Documentation, Ops & Tracking",task-sync-id: task-a6aade518e66,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-e0216ae0cb64,"Add or expand unit/integration tests for new crypto paths (ingestion, db, confluence with is_crypto=True, executor)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,47,"Backlog — Trading Scanner Experimental / Documentation, Ops & Tracking",task-sync-id: task-789341eca258,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-b56b530f7f82,"Keep experimental container naming, volumes, and dashboard port isolated from the reference scanner",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,49,"Backlog — Trading Scanner Experimental / Documentation, Ops & Tracking",task-sync-id: task-288573a878c1,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-569229a22485,"Crypto-native signals (e.g. BTC-relative strength for alts, funding rate awareness, or Deribit options data)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,54,Backlog — Trading Scanner Experimental / Future / Nice to Have (crypto experiments),task-sync-id: task-369b41db2181,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-6c19469396f0,"Config-driven dual mode (equity-only, crypto-primary, mixed)",Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,56,Backlog — Trading Scanner Experimental / Future / Nice to Have (crypto experiments),task-sync-id: task-b4df7b040558,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-444fd5e966cd,Bracket / stop orders for crypto paper trades,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,58,Backlog — Trading Scanner Experimental / Future / Nice to Have (crypto experiments),task-sync-id: task-6f8cd2c817d7,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-8942264db7a4,Simple equity curve + DD tracking that works for mixed stock/crypto paper book,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,60,Backlog — Trading Scanner Experimental / Future / Nice to Have (crypto experiments),task-sync-id: task-4f97698afcd8,trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-e1afa7a6c30e,Walk-forward / gap stress testing that includes crypto symbols,Trading Scanner Experimental,apps,Backlog,Medium,apps/trading-scanner-experimental/BACKLOG.md,62,Backlog — Trading Scanner Experimental / Future / Nice to Have (crypto experiments),"task-sync-id: task-9dda8c2ed24f
**Sync markers (for ecosystem_task_sync.py):**
These checkboxes + headings should generate stable task IDs and flow into Leantime via the infra scripts (backlog parser + GitHub issue sync).
See also: SESSION_LOG.md for recent context on the crypto + dashboard fork work.",trading-scanner-experimental,DrewBeFree/trading-scanner-experimental,apps/trading-scanner-experimental,app
task-bf08c88cab18,"PWA install banner — show iOS Safari tooltip nudging ""Share → Add to Home Screen"" on first visit; dismiss stored in localStorage",UHaul Planner,apps,Backlog,Normal,apps/uhaul-load-planner/BACKLOG.md,4,Backlog — UHaul Planner / UX,,uhaul-load-planner,DrewBeFree/uhaul-load-planner,apps/uhaul-load-planner,app
task-a7097fe36107,WSL Setup — Move infrastructure work to WSL,Infra,infra,In Progress,Normal,infra/BACKLOG.md,30,Infrastructure Backlog / In Progress,"- Set up WSL development environment
- Test clone scripts in WSL bash
- Avoid PowerShell encoding issues for future work
---",infra,DrewBeFree/infra,infra,infrastructure
task-4dab448a4ca0,Ecosystem project tracking — standardize GitHub Projects + Issues,Infra,infra,Blocked,Medium,infra/BACKLOG.md,39,Infrastructure Backlog / Blocked / Ready,"- Inventory existing GitHub Projects and decide which one is the canonical ecosystem board
- Create/standardize fields: Area, Repo, Visibility, Status, Priority, Deploy Target, Next Action
- Create matching issue labels across repos: `area/apps`, `area/sites`, `area/agents`, `area/infra`, `visibility/public`, `visibility/private`, `visibility/sensitive`, `deploy/atlas`, `deploy/github-pages`
- Seed issues for known unfinished work:
- Commit/push `infra` branch `feat/internal-ecosystem-portal`
- Commit/push Command Center branch `feat/internal-ecosystem-portal`
- Deploy internal portal to Atlas at `http://atlas/ecosystem/`
- Implement UHaul Planner edge/IP restriction before any public exposure
- Wire portal status/control actions to real commands or documented runbooks
- Evaluate Leantime as the preferred future self-hosted ecosystem planner once GitHub Projects is in use
- Add project/issue IDs or URLs back into `ecosystem.json` once the canonical board exists
- Decide how `BACKLOG.md`, session logs, GitHub Issues, and the internal portal should stay in sync
- **Status:** Ready; this is the next coordination layer above the portal registry",infra,DrewBeFree/infra,infra,infrastructure
task-1ab1fdc791c0,"Cleanup — Remove hardcoded paths, use environment variables",Infra,infra,Blocked,Medium,infra/BACKLOG.md,54,Infrastructure Backlog / Blocked / Ready,"- Replace hardcoded `C:\Users\drewb\Documents\GitHub` with dynamic detection
- Use `repos.json` baseDirectory or environment variables
- Ensure all scripts work across Windows/Linux/macOS
- Applied to: clone-all scripts, session log updater, and future utilities
- **Status:** Ready; can be done in parallel",infra,DrewBeFree/infra,infra,infrastructure
task-2b4a42ea8c0a,Task sync receiver — harden raw GitHub issue import before broad rollout,Infra,infra,Blocked,Medium,infra/BACKLOG.md,61,Infrastructure Backlog / Blocked / Ready,"- Move the inline raw GitHub issue importer out of `.github/workflows/receive-task-sync.yml` and into `scripts/ecosystem_task_sync.py`.
- Add tests for `gh-issue:` marker handling, `task-*` marker coexistence, duplicate prevention, and failure reporting.
- Remove blanket `|| true` from receiver steps so failures are visible.
- Keep the existing dry-run/report-first contract before `--apply`, especially for Leantime and GitHub Projects writes.
- Ensure raw issue import does not duplicate BACKLOG-derived tasks that already have `task-*` markers.
- GitHub issue: https://github.com/DrewBeFree/infra/issues/21
- **Status:** Ready; created after reviewing the Grok-built Atlas receiver.",infra,DrewBeFree/infra,infra,infrastructure
task-33acb829018d,Leantime visibility — make admin project lists independent from assignment rows,Infra,infra,Blocked,High,infra/BACKLOG.md,70,Infrastructure Backlog / Blocked / Ready,"- Root cause: the Leantime menu calls `getProjectHierarchyAssignedToUser()`, which hardcodes `accessStatus: 'assigned'`.
- Decide whether to maintain a `DrewBeFree/leantime` fork, an upstream PR, or a private `leantime-atlas` overlay repo for source-level patches.
- Patch admins/owners to use `accessStatus: 'all'` for the menu project hierarchy while preserving assignment-only behavior for regular users.
- Add/record a durable hotfix script under `scripts/leantime-hotfixes/` if using an overlay instead of a fork.
- Repair synced project defaults so new API-created projects have `state=1`, `active=1`, and do not require assigning Drew just to be visible.
- GitHub issue: https://github.com/DrewBeFree/infra/issues/22
- **Status:** Ready; do not patch the live container ad hoc.",infra,DrewBeFree/infra,infra,infrastructure
task-81350c791d18,Task 2 — Create project templates for apps and sites,Infra,infra,Blocked,High,infra/BACKLOG.md,79,Infrastructure Backlog / Blocked / Ready,"- Build reusable templates for new app projects (structure, boilerplate, config files)
- Build reusable templates for new site projects (structure, boilerplate, config files)
- Create scaffolding tool or checklist to speed up new project creation
- **Status:** Blocked by WSL setup; unblocks Task 4",infra,DrewBeFree/infra,infra,infrastructure
task-13fd3bb73e55,Task 3 — Design multi-system sync strategy for .claude memory and projects,Infra,infra,Blocked,High,infra/BACKLOG.md,85,Infrastructure Backlog / Blocked / Ready,"- Plan sync between local development machine (Alienware) and homelab PowerEdge R720
- Network share setup for .claude memory
- Project synchronization approach
- Symlink/mount strategy
- Backup/safety considerations
- Personal Documents storage architecture:
- Atlas is the source of truth for Drew's actual Documents folder, not Google Drive or three separate machine-local copies
- Expose from Atlas via SMB as a daily-use share for Alienware and MacBook
- Prefer mapped network locations/Finder favorites first; use symlinks/junctions only after testing app compatibility
- Add limited offline sync/cache only for a small active-work folder if needed
- Back up Atlas Documents to Google Drive with rclone on a scheduled, logged job
- Include snapshots/versioning before cloud backup so accidental deletes do not immediately become the only backup state
- **Deadline:** ~2026-06-02 (PowerEdge arrival)
- **Status:** Blocked by Task 1; can proceed in parallel with Task 2",infra,DrewBeFree/infra,infra,infrastructure
task-fa473b6af7b8,"Task 4 — Automate recurring tasks: logoff checklist, version management, updates",Infra,infra,Blocked,High,infra/BACKLOG.md,101,Infrastructure Backlog / Blocked / Ready,"- Reduce manual work for version bumping (patch/minor/major)
- Automate Command Center card updates
- ~~Automate SESSION_LOG updates (project memory + repo)~~ ✓ done via `/log-session` skill
- Automate app registry updates
- Automate git commits and pushes
- Backlog integration: export BACKLOG.md → HTML dashboard and/or Leantime/Monday.com sync
- **Status:** Blocked by Task 2
---",infra,DrewBeFree/infra,infra,infrastructure
task-5339ec1be7d0,Research project metrics + visualization approach,Infra,infra,Blocked,Medium,infra/BACKLOG.md,112,Infrastructure Backlog / Blocked / Ready,"- Decide what project-level metrics actually matter (commit activity, deploy frequency, task completion rate, time-to-ship, etc.)
- Evaluate options: extend current dashboard with Chart.js, GitHub Insights, Grafana (with GitHub plugin or scripted ingest), or other
- Grafana is great for time-series infra metrics but awkward for event/context-rich project data — confirm or refute with a small experiment
- Pick the tool and ship a first visual",infra,DrewBeFree/infra,infra,infrastructure
task-26f6772238a1,Unified terminal / cross-machine access,Infra,infra,Blocked,Normal,infra/BACKLOG.md,118,Infrastructure Backlog / Blocked / Ready,"- Single window or tool to run commands across Alienware, atlas, and MacBook simultaneously
- Explore: tmux + SSH, Fabric/Ansible, or MCP SSH tools for Claude
- Goal: no more juggling 3 terminal windows",infra,DrewBeFree/infra,infra,infrastructure
task-803af3d87c05,Atlas safety dashboard + Hermes handoff lane,Infra,infra,Blocked,High,infra/BACKLOG.md,123,Infrastructure Backlog / Blocked / Ready,"- Build a health-first dashboard section for storage, shares, backup freshness, and key Atlas services
- Surface current hazards: offline `/mnt/data4`, PERC/iDRAC access gap, failed WD Reds, stale/missing backups
- Link each warning to a runbook before adding any one-click controls
- Define Hermes vs Claude/Codex responsibilities: Hermes for briefings/monitoring/reminders, Claude/Codex for code/design/implementation work
- Start with a Markdown morning briefing generator, then feed it into Hermes/dashboard once stable
- Reference: `docs/atlas-documents-hermes-cheap-handoff.md`",infra,DrewBeFree/infra,infra,infrastructure
task-ff37c3e6afc8,Finish homelab-status-dashboard redesign,Infra,infra,Blocked,Medium,infra/BACKLOG.md,130,Infrastructure Backlog / Blocked / Ready,"- Complete Command Center-inspired single-page design
- Fix backlog accordion expand/collapse
- Deploy final version to atlas",infra,DrewBeFree/infra,infra,infrastructure
task-a0761f22a6e7,GitHub file structure + multi-machine clone strategy,Infra,infra,Blocked,Normal,infra/BACKLOG.md,135,Infrastructure Backlog / Blocked / Ready,"- Document which repos live where (private vs public, infra vs apps)
- Standardize how new machines clone the full repo set
- Integrate with clone-all scripts",infra,DrewBeFree/infra,infra,infrastructure
task-4c2825afeb4d,Docker strategy for homelab tools,Infra,infra,Blocked,Medium,infra/BACKLOG.md,140,Infrastructure Backlog / Blocked / Ready,"- Revisit whether status dashboard, Bob, and other tools should run in Docker on atlas
- Evaluate if Docker simplifies deployment, updates, and cross-machine access
- Set up Portainer on atlas first, then evaluate containerizing each tool",infra,DrewBeFree/infra,infra,infrastructure
task-5bbde9ed090d,Wiki — Make all URLs clickable,Infra,infra,Blocked,Normal,infra/BACKLOG.md,145,Infrastructure Backlog / Blocked / Ready,"- Live URLs, GitHub links, and local service addresses in project pages should all be hyperlinked
- Check infrastructure/services.md and project pages for plain-text URLs",infra,DrewBeFree/infra,infra,infrastructure
task-5fcde29aacc3,Wiki — Upgrade UI,Infra,infra,Blocked,Normal,infra/BACKLOG.md,149,Infrastructure Backlog / Blocked / Ready,"- Custom MkDocs Material theme overrides (colors, fonts, card layout)
- Consider custom CSS for project pages (icon + metadata side-by-side, manual in expandable section)
---",infra,DrewBeFree/infra,infra,infrastructure
